,CUSTOMER,Parameter.BondType,Parameter.Group,Parameter.No,Parameter.No_1,WIRE_SIZE,Parameter.Max,Parameter.Min,Parameter.Value,MEANX,PRED
0,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.070368158845643
1,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.11622275474769
2,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.015366662067393
3,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.064872182354684
4,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.015366662067393
5,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.064872182354684
6,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.11622275474769
7,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.015366662067393
8,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.064872182354684
9,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.070368158845643
10,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.070368158845643
11,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.11622275474769
12,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.015366662067393
13,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.064872182354684
14,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.070368158845643
15,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.11622275474769
16,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.015366662067393
17,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.064872182354684
18,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.070368158845643
19,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.11622275474769
20,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.11622275474769
21,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.015366662067393
22,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.064872182354684
23,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.070368158845643
24,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.015366662067393
25,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.064872182354684
26,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.064872182354684
27,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.070368158845643
28,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.11622275474769
29,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.015366662067393
30,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.070368158845643
31,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.11622275474769
32,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.015366662067393
33,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.064872182354684
34,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.015366662067393
35,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.064872182354684
36,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.070368158845643
37,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.11622275474769
38,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.11622275474769
39,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,22.108,23.064872182354684
