y,y_pred
26.216,26.216
25.09,25.09
23.783,23.783
25.95,25.95
20.598,20.598
23.298,23.298
25.262,25.262
19.174,19.174
22.129,22.129
24.784,24.784
26.216,26.216
23.42,23.42
21.918,21.918
20.878,20.878
19.7384,19.7384
24.356,24.356
30.215,30.215
22.896,22.896
19.431,19.431
20.516,20.516
20.264,20.264
22.896,22.896
16.074,16.074
25.388,25.388
19.431,19.431
42.86,42.86
26.366,26.366
20.566,20.566
23.161,23.161
24.798,24.798
24.256,24.256
25.262,25.262
22.77,22.77
19.856,19.856
23.996,23.996
19.558,19.558
41.505,41.505
22.226,22.226
23.676,23.676
20.702,20.702
24.784,24.784
24.117,24.117
23.161,23.161
20.598,20.598
21.224,21.224
26.754,26.754
22.248,22.248
38.232,38.232
24.284,24.284
19.7384,19.7384
21.829,21.829
26.3,26.3
41.505,41.505
25.388,25.388
21.492,21.492
20.828,20.828
24.2011,24.2011
25.228,25.228
26.366,26.366
25.09,25.09
26.18,26.18
20.186,20.186
35.091,35.091
24.928,24.928
25.262,25.262
21.67,21.67
22.302,22.302
18.292,18.292
25.228,25.228
22.786,22.786
19.174,19.174
23.488,23.488
24.784,24.784
37.596,37.596
25.494,25.494
20.646,20.646
22.937,22.937
23.516,23.516
22.248,22.248
24.356,24.356
26.366,26.366
17.274,17.274
36.434,36.434
26.2439,26.2439
21.32,21.32
20.598,20.598
25.228,25.228
22.74,22.74
20.1,20.1
25.388,25.388
19.558,19.558
25.27,25.27
23.884,23.884
23.298,23.298
23.506,23.506
24.928,24.928
22.248,22.248
15.43,15.43
20.828,20.828
19.063,19.063
24.256,24.256
26.3,26.3
25.262,25.262
25.186,25.186
22.542,22.542
22.226,22.226
18.304,18.304
21.32,21.32
20.392,20.392
19.058,19.058
18.672,18.672
26.216,26.216
21.998,21.998
23.82,23.82
17.474,17.474
30.215,30.215
19.431,19.431
15.332,15.332
17.474,17.474
30.215,30.215
21.87,21.87
20.662,20.662
18.184,18.184
21.624,21.624
22.542,22.542
20.1,20.1
41.505,41.505
20.592,20.592
21.67,21.67
21.829,21.829
32.933,32.933
23.506,23.506
23.952,23.952
30.215,30.215
23.968,23.968
19.718,19.718
16.518,16.518
24.792,24.792
23.161,23.161
21.87,21.87
20.878,20.878
25.904,25.904
23.612,23.612
23.488,23.488
18.018,18.018
17.8,17.8
24.954,24.954
20.938,20.938
26.764,26.764
20.392,20.392
38.548,38.548
23.488,23.488
24.356,24.356
23.284,23.284
21.67,21.67
21.406,21.406
26.658,26.658
22.434,22.434
16.074,16.074
19.431,19.431
23.82,23.82
21.342,21.342
23.676,23.676
21.698,21.698
20.1,20.1
21.918,21.918
20.828,20.828
25.352,25.352
24.356,24.356
16.074,16.074
22.129,22.129
23.298,23.298
21.918,21.918
19.7384,19.7384
21.32,21.32
23.968,23.968
20.348,20.348
24.284,24.284
25.228,25.228
22.542,22.542
23.936,23.936
24.242,24.242
41.002,41.002
21.044,21.044
21.536,21.536
22.248,22.248
23.076,23.076
21.698,21.698
24.284,24.284
22.937,22.937
21.32,21.32
26.216,26.216
23.649,23.649
19.856,19.856
20.502,20.502
23.676,23.676
36.869,36.869
23.952,23.952
21.406,21.406
23.411,23.411
22.518,22.518
22.138,22.138
22.896,22.896
21.918,21.918
22.129,22.129
22.542,22.542
18.184,18.184
15.43,15.43
22.138,22.138
22.937,22.937
15.332,15.332
22.248,22.248
21.67,21.67
25.097,25.097
20.348,20.348
23.676,23.676
20.684,20.684
20.2895,20.2895
22.248,22.248
24.256,24.256
23.968,23.968
22.136,22.136
20.684,20.684
20.598,20.598
34.611,34.611
23.166,23.166
22.896,22.896
20.662,20.662
23.695,23.695
22.77,22.77
24.798,24.798
21.044,21.044
19.7384,19.7384
19.856,19.856
54.181,54.181
22.786,22.786
23.506,23.506
22.934,22.934
24.356,24.356
20.878,20.878
24.2011,24.2011
23.695,23.695
17.274,17.274
21.722,21.722
20.828,20.828
21.67,21.67
20.516,20.516
22.934,22.934
25.388,25.388
21.532,21.532
22.937,22.937
18.42,18.42
34.391,34.391
22.136,22.136
26.414,26.414
25.858,25.858
20.828,20.828
25.918,25.918
23.506,23.506
22.129,22.129
20.684,20.684
19.244,19.244
21.722,21.722
20.828,20.828
23.952,23.952
18.672,18.672
21.072,21.072
24.384,24.384
40.836,40.836
26.3,26.3
34.611,34.611
23.612,23.612
23.676,23.676
26.3,26.3
22.386,22.386
19.174,19.174
25.262,25.262
24.792,24.792
25.95,25.95
21.044,21.044
22.937,22.937
19.431,19.431
22.937,22.937
23.952,23.952
19.7384,19.7384
34.611,34.611
21.67,21.67
23.82,23.82
20.516,20.516
24.784,24.784
20.828,20.828
17.474,17.474
20.318,20.318
21.406,21.406
23.936,23.936
20.1,20.1
22.131,22.131
22.786,22.786
20.516,20.516
22.129,22.129
21.87,21.87
23.783,23.783
22.226,22.226
17.474,17.474
